full_name,social_net ,link,price_stories,story_with_travel_to_location,price_reels_creative,price_photo_post,collaboration,youtube_integration,youtube_dedicated_video,category,subs,avg_views_reels,cpv_reels_creative,engagement_rate,men,women,age_13-17,age_18-24,age_25-34,age_35-44,armenia,russia,usa,georgia,yerevan,gyumri,vanadzor,moscow
Yeva Gharibyan,instagram,https://www.instagram.com/yevagharibyan,"120,000.00","50,000.00","300,000.00","200,000.00","50,000.00",-,-,lifestyle,"75,700.00","360,000.00",0.83,0.00,0.13,0.87,0.05,0.31,0.39,0.16,0.00,0.00,0.00,0.00,0.66,0.02,0.01,0.02
Ani Arzumanyan,instagram,https://www.instagram.com/anii.arzumanyan/,"120,000.00","50,000.00","350,000.00","350,000.00","50,000.00",-,-,lifestyle,"102,000.00","235,000.00",1.49,0.01,0.26,0.74,0.11,0.38,0.32,0.12,0.84,0.05,0.03,0.01,0.61,0.02,0.02,0.01
Ponch,instagram,https://www.instagram.com/ponchispiryan/,"500,000.00","50,000.00","800,000.00","650,000.00","50,000.00",-,-,lifestyle,"161,000.00","120,000.00",6.67,0.18,0.43,0.57,0.03,0.17,0.35,0.28,0.69,0.15,0.06,0.02,0.63,0.02,0.01,0.05
Toma Petrosian,instagram,https://www.instagram.com/tomapetrossian/,"300,000.00","50,000.00","600,000.00","550,000.00","50,000.00",-,-,lifestyle,"131,000.00","70,000.00",8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Evelina Khanoyan,instagram,https://www.instagram.com/evelinakhanoyan/,180.00,"20,000.00","400,000.00","400,000.00","50 000,00",-,-,lifestyle,196 000,"300,000.00",1.33,0.07,0.21,0.79,0.11,0.31,0.34,0.16,0.81,0.07,0.02,0.02,0.00,0.00,0.00,0.00
Evelina Khanoyan,tiktok,https://www.tiktok.com/@evelinakhanoyan,0.00,0.00,"300,000.00",-,-,-,-,lifestyle,259 500,"130,000.00",2.31,,0.44,0.56,0.00,0.45,0.34,0.13,0.89,0.05,0.02,0.02,0.00,0.00,0.00,0.00
Hrashq,instagram,https://www.instagram.com/neeeh____/,"40,000.00","50,000.00","280,000.00","160,000.00","50,000.00",-,-,lifestyle,"30,000.00","85,000.00",3.29,0.25,0.25,0.75,0.22,0.54,0.17,0.05,0.89,0.05,0.02,0.02,0.63,0.03,0.02,0.01
Alexandr Babasyan,instagram,https://www.instagram.com/alexandrbabasyan/,"150,000.00","50,000.00","400,000.00","275,000.00","50,000.00",-,-,lifestyle,"166,000.00","150,000.00",2.67,0.14,0.21,0.79,0.00,0.15,0.35,0.31,0.66,0.18,0.05,0.02,0.53,0.01,0.01,0.07
Mtqaran,instagram,https://www.instagram.com/mtqaran/,"50,000.00","50,000.00","300,000.00","200,000.00","50,000.00",-,-,education,"63,200.00","55,500.00",5.41,0.08,0.00,0.00,0.02,0.18,0.37,0.26,0.00,0.00,0.00,0.00,0.29,0.02,0.01,0.20
Gitakert,instagram,https://www.instagram.com/gitakert/,"65,000.00","50,000.00","300,000.00","257,000.00","50,000.00",-,-,education,"39,000.00","100,000.00",3.00,0.23,0.38,0.62,0.03,0.20,0.38,0.23,0.00,0.00,0.00,0.00,0.56,0.01,0.01,0.04
Nelly Vahanyan,instagram,https://www.instagram.com/nellieme/,"50,000.00","50,000.00","150,000.00","120,000.00","50,000.00",-,-,lifestyle,"32,800.00","83,920.00",1.79,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shaqe Hmayakayan,instagram,https://www.instagram.com/shaq_shine/,"155,000.00","50,000.00","395,000.00","190,000.00","50,000.00",-,-,medcine,"134,000.00","78,000.00",5.06,0.05,0.07,0.93,0.00,0.24,0.35,0.23,0.82,0.07,0.04,0.01,0.64,0.02,0.02,0.02
Ruben Yesayan,instagram,https://www.instagram.com/ruben_yesayan?igsh=b3Q1NXNtNXZ0bWdi,"70,000.00","50,000.00","425,000.00","247,500.00","50,000.00",,-,education,"138,000.00","152,000.00",2.80,0.15,0.33,0.67,0.11,0.32,0.30,0.17,0.00,0.00,0.00,0.00,0.58,0.02,0.02,0.02
